text_id,paper_discipline,level_cat,student_gender,speaker_status,paper_type,the,of,and,to,in,a,is,that,for,this,be,as,are,with,it,on,not,by,was,from,an,have,their,or,which,i,they,his,can,will,we,were,at,these,more,but,he,would,has,one,also,all,there,her,between,when,if,may,only,about
BIO.G1.06.1,Biology,G1,F,NS,Report,40211.33,33460.52,39330.79,23187.56,39624.3,10859.99,12621.07,10566.48,6750.81,4989.73,6163.78,3815.67,8218.37,4989.73,4696.21,12034.05,3522.16,4696.21,2348.11,4989.73,3522.16,3815.67,880.54,3815.67,4989.73,0,587.03,0,1467.57,7924.86,2054.59,2348.11,1467.57,2935.13,2348.11,3815.67,0,2348.11,4109.19,1174.05,2641.62,0,5576.75,0,880.54,587.03,1761.08,6457.29,0,880.54
BIO.G1.07.1,Biology,G1,M,NNS,Proposal,117493.47,33942.56,18276.76,40905.13,14795.47,5221.93,13054.83,13925.15,8703.22,5221.93,6092.25,870.32,10443.86,4351.61,1740.64,8703.22,5221.93,6092.25,0,10443.86,870.32,2610.97,0,12184.51,5221.93,0,870.32,0,24369.02,2610.97,37423.85,0,0,4351.61,0,2610.97,0,0,0,1740.64,1740.64,2610.97,5221.93,0,0,870.32,13054.83,2610.97,2610.97,4351.61
BIO.G1.08.1,Biology,G1,F,NNS,Report,54216.87,34939.76,33734.94,24096.39,28915.66,7228.92,8433.73,25301.2,6024.1,4819.28,3614.46,4819.28,3614.46,10843.37,7228.92,7228.92,4819.28,3614.46,8433.73,3614.46,1204.82,1204.82,2409.64,2409.64,4819.28,2409.64,10843.37,0,3614.46,0,3614.46,6024.1,0,2409.64,4819.28,2409.64,0,0,0,1204.82,3614.46,1204.82,0,0,2409.64,0,3614.46,0,0,0
BIO.G1.08.2,Biology,G1,F,NNS,ResponsePaper,65595.72,37483.27,30789.83,10709.5,37483.27,10709.5,8032.13,20080.32,9370.82,4016.06,2677.38,5354.75,0,2677.38,2677.38,5354.75,10709.5,1338.69,8032.13,0,4016.06,2677.38,2677.38,5354.75,1338.69,2677.38,14725.57,0,4016.06,0,1338.69,9370.82,8032.13,5354.75,0,4016.06,0,0,1338.69,2677.38,4016.06,5354.75,1338.69,0,2677.38,0,0,0,1338.69,1338.69
BIO.G2.01.1,Biology,G2,M,NS,ResearchPaper,62163.62,32561.89,27987.08,21797.63,14800.86,22874.06,12917.12,13993.54,9956.94,10226.05,8073.2,6727.66,10495.16,6458.56,4036.6,6458.56,6996.77,4036.6,4574.81,9956.94,3498.39,4574.81,2152.85,6189.45,1614.64,538.21,2421.96,1076.43,2960.17,1345.53,269.11,5920.34,2960.17,6996.77,1076.43,2152.85,0,4036.6,1883.75,1883.75,2421.96,1614.64,4843.92,1076.43,4036.6,269.11,0,807.32,3229.28,538.21
BIO.G2.02.1,Biology,G2,F,NS,Report,63610.52,45131.49,18479.03,19900.5,25230.99,19545.13,17057.57,18479.03,3909.03,8528.78,10660.98,7107.32,7462.69,6751.95,11727.08,8173.42,4975.12,8528.78,710.73,2487.56,5330.49,2842.93,4264.39,6396.59,4619.76,2487.56,2132.2,0,7462.69,6751.95,2487.56,1421.46,7462.69,3198.29,8884.15,4975.12,1421.46,1066.1,2842.93,4619.76,1776.83,1776.83,1066.1,0,1776.83,1066.1,5685.86,6041.22,355.37,355.37
BIO.G2.03.1,Biology,G2,M,NNS,ResearchPaper,89180.05,37616.23,36348.27,12256.97,27472.53,21978.02,16483.52,5071.85,12679.63,5917.16,3803.89,3803.89,5071.85,16060.86,1690.62,2535.93,2113.27,2535.93,6762.47,5494.51,5071.85,1267.96,845.31,3803.89,3381.23,2113.27,0,0,2113.27,0,422.65,2958.58,1267.96,2113.27,1690.62,1690.62,0,422.65,845.31,3381.23,3381.23,422.65,1267.96,0,6762.47,4226.54,422.65,422.65,2113.27,845.31
BIO.G2.04.1,Biology,G2,F,NS,ResearchPaper,55152.39,36284.47,47895.5,14513.79,14513.79,18867.92,19593.61,6531.2,13062.41,10159.65,2902.76,7982.58,3628.45,6531.2,4354.14,5805.52,5079.83,9433.96,10885.34,5079.83,4354.14,5079.83,0,2902.76,3628.45,0,1451.38,0,0,0,0,5805.52,0,2177.07,3628.45,4354.14,0,0,2902.76,1451.38,3628.45,725.69,725.69,0,4354.14,0,2177.07,1451.38,725.69,0
BIO.G2.05.1,Biology,G2,M,NNS,Report,48684.21,50000,30263.16,27631.58,23684.21,15789.47,18421.05,9210.53,1315.79,3947.37,7894.74,2631.58,6578.95,9210.53,2631.58,3947.37,2631.58,13157.89,1315.79,7894.74,1315.79,5263.16,3947.37,3947.37,10526.32,0,11842.11,0,0,7894.74,1315.79,3947.37,3947.37,1315.79,2631.58,1315.79,0,2631.58,1315.79,2631.58,9210.53,0,1315.79,0,3947.37,0,1315.79,0,1315.79,1315.79
BIO.G2.05.2,Biology,G2,M,NNS,Report,45045.05,37837.84,25225.23,30630.63,18018.02,28828.83,14414.41,9009.01,1801.8,7207.21,7207.21,3603.6,0,10810.81,3603.6,3603.6,3603.6,1801.8,0,5405.41,9009.01,5405.41,0,5405.41,5405.41,18018.02,1801.8,0,5405.41,9009.01,7207.21,1801.8,5405.41,0,3603.6,0,0,5405.41,7207.21,1801.8,1801.8,1801.8,0,0,0,0,5405.41,7207.21,0,0
